video_id,index,no_list,time,categories,part
1011,0,"[1, 2, 3, 4, 5, 6, 7, 8]","['00:00:01,159', '00:00:28,750']",Business & Industrial,"Ezra Klein: So let’s begin with the economy. We're in a point where the economy is growing. We have very high corporate profits. We have a record stock market, and yet for decades now we've not been seeing significant wage increases for the American people. How have we gotten to a point where we can have high corporate profits, and businesses can be doing so well, but the workers don't necessarily share in that prosperity? Barack Obama: Well, this has been at least a three-decade-long trend."
1011,1,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","['00:00:28,750', '00:01:57,049']",,"And this was a major topic in my State of the Union address. We obviously came in at a time of enormous crisis, and the first task was making sure we didn't have a complete global economic meltdown. The steps we took, whether making sure the financial system was functioning — saving the auto industry, encouraging state and local spending. All those things made a difference in buoying the economy, and then it’s been a hard but steady slog to the point where now we're growing at a robust pace and unemployment has come down faster than any time in the last 30 years. In some ways we're now back to the position where we can focus on what is this longer-term trend, and that is a larger and larger share of wealth and income going to the very top, and the middle class or folks trying to get into the middle class, feeling increasingly squeezed because their wages have stagnated. Now, there are a whole bunch of reasons for that. Some of it has to do with technology and entire job sectors being eliminated: travel agents, bank tellers, a lot of middle management, because of efficiencies with the internet and a paperless office. A lot of it has to do with globalization and the rest of the world catching up. Post-World War II, we just had some enormous structural advantages because our competitors"
1011,2,"[27, 28, 29, 30, 31]","['00:01:57,049', '00:02:27,090']",Finance,"had been devastated by war, and we had also made investments that put us ahead of the curve, whether in education or infrastructure or research and development. And around the ‘70s and ‘80s and then accelerating beyond that, those advantages went away at the same time as, because of technologies, companies are getting a lot more efficient and one last component of this is that workers increasingly had less leverage"
1011,3,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]","['00:02:27,090', '00:03:32,850']",People & Society,"because of changes in labor laws and the ability for capital to move and labor not to move. You combine all that stuff and it’s put workers in a tougher position. So our job now is to create additional tools that, number one, make sure that everybody's got a baseline of support to be able to succeed in a constantly moving economy. Whether it’s healthcare that survives job loss, whether it is making sure we have child care that allows a two-working-household-family to prosper while still caring for their kids. Having a certain baseline in terms of wages, through the minimum wage. So that's one set of issues. A second set of issues then becomes: how do we make sure that everybody has the tools to succeed in an economy where they constantly have to adapt? And how do they move up the value chain, essentially because they can work in higher-wage, higher-skill"
1011,4,"[43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]","['00:03:32,849', '00:04:31,689']",,"professions, and were able to compete for those jobs internationally? Then the third thing is making sure that we have an economy that's productive. Now if we do all those things, then what I'm confident about is that we can continue to lower the unemployment rate, increase the participation rate, and continue to grow and increase productivity. We're still going to have a broader, longer term, global question and that is: how do we make sure that the folks at the very top are doing enough of their fair share? The winner-take-all aspect of this modern economy means that you've got some people who just control enormous amounts of wealth. We don't really resent their success, on the other hand just as a practical matter, if we're going to pay for schools, roads, et cetera, and you've got you know, fifty people or eighty people having as much wealth as three billion, you know you're going to have"
1011,5,"[55, 56, 57, 58, 59, 60, 61, 62, 63]","['00:04:31,689', '00:04:58,250']",Finance,"problems making sure that we're investing enough in the common good to be able to move forward. So that's a long term question. But right now, there's some very specific things we can do that can makes a difference and help middle class families. And that's why I called it middle-class economics.  Ezra: To focus a bit on that long term question, does that put us in a place long term where redistribution becomes, in a sense, a positive good in and of itself, that you have an economy"
1011,6,"[64, 65, 66, 67, 68, 69, 70]","['00:04:58,250', '00:05:20,849']",News,"or potentially you have the government playing the role not of powering the growth engine which is what a lot of what had to be done after the financial crisis, but of making sure that while that growth engine is running, that it is ensuring that enough of the gains and prosperity is shared that the political support for that fundamental economic model to remain strong? Obama: That's always been the case. I don't think that's entirely new."
1011,7,"[71, 72, 73, 74, 75, 76]","['00:05:20,850', '00:05:49,650']",,"The fact of the matter is that relative to our post-war history, taxes now are not particularly high or particularly progressive compared to what they were, say, in the late ‘50s or the ‘60s. And there's always been this notion that for a country to thrive, there are some things, as Lincoln says, that we can do better together than we can do for ourselves. And whether that's building roads, or setting up effective power grids, or making sure that"
1011,8,"[77, 78, 79, 80, 81, 82, 83, 84]","['00:05:49,649', '00:06:15,819']",Jobs & Education,"we've got high quality public education, that teachers are paid enough, the market will not cover those things. And we've got to do them together. Basic research falls in that category. So that's always been true. I think that part of what's changed is that a lot of that burden for making sure that the pie was broadly shared took place before government even got involved. If you had stronger unions, you had higher wages."
1011,9,"[85, 86, 87, 88, 89, 90]","['00:06:15,819', '00:06:58,449']",Business & Industrial,"If you had a corporate culture that felt a sense of place and commitment so that the CEO was in Pittsburgh or was in Detroit and felt obliged, partly because of social pressure but partly because they felt a real affinity toward the community, to re-invest in that community and to be seen as a good corporate citizen. Today what you have is quarterly earning reports, compensation levels for CEOs that are tied directly to those quarterly earnings, you've got international capital that is demanding"
