video_id,part_id,category,keywords,part_url,time,text
1004,100071,News,"['nkem ifejika', 'mass', 'tighter', 'thousands', 'news']",ZWf_QoDzEbY,"['00:00:05,330', '00:01:20,289']","welcome to bbc news, broadcasting to viewers in north america and around the globe. my name is nkem ifejika. our top stories: tough words for some us leaders. students from the school targeted in a mass shooting demand tighter gun controls. if all our government and president can do is send ""thoughts and prayers,"" then it's time for victims to be the change we need to see. president trump's national security adviser accuses the syrian government of using chemical weapons, and demands action from global leaders. thousands turn out to show their respects in zimbabwe as the body of opposition leader morgan tsvangira returns home. also in the programme: can you see anything unusual about this picasso? we'll uncover the mystery hiding behind the masterpiece. hello. i'm nkem ifejika, and this is bbc world news. thousands of people in florida, including survivors of wednesday's mass school shooting, have taken part in a rally to demand tighter"
1004,100072,Sensitive Subjects,"['school', 'gun control', 'people', 'fort lauderdale', 'gun controls']",ZWf_QoDzEbY,"['00:01:20,290', '00:03:30,219']","gun controls in the united states. the event took place outside the court building in the city of fort lauderdale, a short distance from the school where a former student, nikolas cruz, killed seventeen people. laura westbrook reports. chanting: no more! outside the federal courthouse in fort lauderdale, this was the message to lawmakers. among the protesters was emma gonzales, who took cover on the floor of her school's auditorium as a gunman started shooting. she had this to say to donald trump. if the president wants to come up to me and tell me to my face that it was a terrible tragedy and how it should never have happened and maintain telling us how nothing is going to be done about it, i will happily ask him how much money he received from the national rifle association. what she's referring to is the millions of dollars the nra has given towards the trump campaign. on a visit to the hospital where the victims of the attack are being treated, the president once again made no mention of guns or gun control. instead, he says the problem is mental illness. just a few kilometres south of where the protest is being held, a gun show is taking place. in the us, there are as many guns in circulation as people. the nra is the most powerful lobbying organisation in the united states and they have successfully resisted every move to tighten gun controls. and for their supporters, it is a fundamental freedom. when someone infringes a right for persons in this country to keep and bear arms, then it's an infringement on rights and civil liberties. that is a big problem. we will spend our times at funerals... but after yet another school shooting, anger among the younger generation is rising. in fact, students across the country are planning a mass walkout of schools in april, the anniversary of the columbine high school massacre. they are demanding adults"
1004,100073,News,"['fbi', 'president', 'conference', 'munich', 'president trump']",ZWf_QoDzEbY,"['00:03:30,219', '00:04:30,158']","listen to them and tighten gun control. laura westbrook, bbc news. in the last hour, president trump issued a tweet on the fbi and its investigation into the school shooting. he's suggested that the fbi missed the signals that the florida gunman, nikolas cruz, was planning a massacre at his school because he said the agency is spending too much time investigating his ties to russia. he's tweeted that this was not acceptable and the fbi needed to get back to basics. president trump's national security adviser has called on world leaders to hold the syrian government to account for its continued use of chemical weapons. speaking at the munich security conference, hr mcmaster says it is clear that such weapons are still being deployed. tensions between moscow and washington have also been evident at the conference. our chief international correspondent, lyse doucet, is in munich. it is not the first time that senior us officials have accused president"
1004,100074,Sensitive Subjects,"['earthquake', 'emmanuel macron', 'government', 'chemical weapons', 'time']",ZWf_QoDzEbY,"['00:04:30,158', '00:07:43,688']","assad's government and its main ally, russia, are being behind the use of chemical weapons in this area. we have recently a warning from the french president, emmanuel macron, saying there was evidence that they would strike in retaliation to the use of chemical weapons. it is not the first time. emmanuel macron, in his case, so there was no proof what we have heard from hr mcmaster, he said thatjudging by public records and by photographs, the evidence is clear. he did not make clear which public record or photographs he was referring to. we do know that time and again, every time this accusation is made, the syrian government denies it and they have responded when there was the warning from emmanuel macron, faisal mekdad, the deputy foreign minister, said that the syrian government did not possess chemical weapons and he described them as immoral. let's ta ke let's take a look at some of the other stories making the news. the israeli air force has carried out raids in the gaza strip following an explosion near the border in which four soldiers were hurt. an israeli military spokesman said six hamas military targets were hit, including a tunnel. it's not known if there are any casualties at this stage. around 100 neo-nazis have held a torchlit march through the bulgarian capital sofia, to honour a nationalist leader who formed an alliance with the nazis during the second world war. the event, held for lieutenant-general hristo, lukov, went ahead despite condemnation from the mayor and two us congressmen. the march has been held annually since 2003. 14 people have been killed, including a six-month-old baby, when a mexican military helicopter, carrying top officials surveying the damage from an earthquake, crashed in a small town in the southern state of oaxaca in mexico. shuba krishnan has more. it was supposed to be a military mission to assess damage and provide support after a shocking 7.2 magnitude quake. but it all went terribly wrong. the helicopter carrying mexico's interior minister and the 0axaca state governor crashed on top of two minibuses in a small village not far from the epicentre. 14 people were killed including a six-month-old baby. remarkably, senior officials on board survived. the delegation had been touring 0axaca, the epicentre of friday's earthquake. while no deaths have been reported from the earthquake itself, it did leave nearlyi million homes and businesses without power. witnesses of the helicopter crash say it could have been a power cuts that played a factor. they say it circled several times, raising thick clouds of dust and further reducing visibility. translation: the entire town was without light, it was dark. we were happy up there, we were going to sleep up there, we were all going to be up there but look what they did. the governor was supposedly coming to help but"
1004,100075,News,"['body', 'hundreds', 'aid', 'harare', 'supporters']",ZWf_QoDzEbY,"['00:07:43,689', '00:08:57,230']","what was the help? the aid we received. this was the aid? mexican politicians have apologised for the accident but that won't do much to ease the pain felt by relatives mourning the loss of their loved ones. shuba krishnan, bbc news. the body of zimbabwe's opposition leader, morgan tsvangirai, has arrived back in the country following his death from cancer in south africa earlier this week. he was 65. hundreds of his supporters were at the airport in harare to pay their respects. our correspondent in harare is shingai nyoka. he arrived at the airport where hundreds of supporters were there to meet him. his body was then escorted to the military barracks where it will lie in state until tomorrow. what we understand is that there will be a church service at about 12 gmt tomorrow, followed by a public service, a memorial service on monday, and then finally his body will be taken to his village, which is about four hours outside the capital. he will be laid"
1004,100076,Sensitive Subjects,"['time', 'opposition', 'body', 'zimbabweans', 'state']",ZWf_QoDzEbY,"['00:08:57,230', '00:10:00,450']","to rest there. this is a state assisted funeral, not a state funeral, in that case he would have been buried at the national heroes acre. the supporters were obviously very excited to have his body back. they almost broke down the hangar trying to get his body. but zimbabweans have been in a very sombre mood, remembering the legacy that he had. he has been in politics here in zimbabwe for about 20 years. he has led the movement for democratic change for all of that time. he is the figurehead for the opposition and many people are wondering what will happen to the opposition now that he has passed away, given that in about four months because time the country will be heading for elections. it is a major departure from what zimbabweans are used to. under president robert mugabe, morgan tsvangirai served as his minister, but it was a very acrimonious relationship between the parties. what we"
1004,100077,News,"['president', 'soil', 'party', 'life', 'full co-operation']",ZWf_QoDzEbY,"['00:10:00,450', '00:10:56,990']","have heard at the last few days from the president, he described him as a son of the soil. they said they might even consider conferring another honour on him, the relationship between the military and the party has always been tenuous. they hailed him as a man who contributed to democracy and pushed for free and fair elections across the country. across-the-board, we have seen something that zimbabweans have never really seen. that is all the political parties coming together, putting their differences aside to celebrate the life of morgan tsvangirai. the british prime minister has called for a new security treaty with the european union after brexit, warning that lives could be at risk without full co-operation. in a speech in germany, theresa may said new arrangements over working together should be effective by next year. the president of the european commission, jean claude juncker, agreed that"
1004,100078,Law & Government,"['security', 'brexit', 'eu', 'defence', 'point']",ZWf_QoDzEbY,"['00:10:56,990', '00:12:59,379']","a post-brexit security alliance was necessary, but said it should be negotiated separately from other issues, such as trade. our political correspondent, vicki young, reports from munich. in defence and security of the uk is a significant player. the prime minister hopes that will get her a special deal. she arrived in munich, keen to lay out britain's contribution. generous spending on defence and expertise it wants to share even after brexit. theresa may urged the eu to take a practical approach. this cannot be a time when any of us allow competition between partners, rigid institutional restrictions or deep-seated ideology to inhibit our cooperation and jeopardise the security of our citizens. she's calling for a new security treaty so that the close partnership can continue. failure to agree one would have damaging consequences, she said. we must do whatever is most practical and pragmatic in ensuring our collective security. those who threaten our security would like nothing more than to see us fractured. some listening to this were left bewildered. the brexit decision from the point of view of us inside the eu is extremely regrettable. things would be so much easier if you stayed. so here comes the questions. applause. mrs may pointed out that brexit was a democratic decision politicians should respect. one senior brussels figure seemed to agree. the commission president, jean-claudejunker, said the eu wasn't at war with the uk and didn't want to take revenge on the british people. he said the security bridge would be maintained, but you couldn't mix it up with other issues. conservative mps attending the conference here believe the speech is a good starting point for talks. we've got to start getting into the detail of this. i think one thing we can do is improve our offer around defence and security, and i do think we need to have another look in"
1004,100079,News,"['bbc news', 'uk', 'security', 'safety', 'theresa']",ZWf_QoDzEbY,"['00:12:59,379', '00:14:16,589']","the uk as to how we prioritise security. so it's a pretty familiar message from theresa may. the uk is leaving the european union but that doesn't mean that close cooperation needs to end. and it's a blunt message too, saying to europe's leaders don't let your ideology get in the wake of the safety of our citizens. the government hopes today's speech will show it's acting responsibly, not wanting to drag the important issue of security into fraught brexit negotiations. vicki young, bbc news, munich. stay with us on bbc news. still to come: she was famously linked to an attack on a fellow skater. now, the story of tonya harding gets the hollywood treatment. we speak to the film's stars. nine years and 15,000 deaths after going into afghanistan, the last soviet troops were finally coming home. the withdrawal completed in good order, but the army defeated in the task it had been sent to perform. malcolm was murdered. that has a terrible effect on"
1004,100080,,"['time', 'way', 'people', 'day', 'vent low']",ZWf_QoDzEbY,"['00:14:16,590', '00:15:36,250']","the morality of the people. i'm terrified of the repercussions in the streets. one wonders who is next. as the airlift got under way, there was no letup in the eruption itself. lava streams from a vent low in the crater flowed down to the sea on the east of the island - away from the town for the time being, but it could start flowing again at any time. the russians heralded their new generation space station with a spectacular night launch. this is bbc news. the latest headlines: students from the florida school where seventeen people were killed in a mass shooting this week have taken part in a rally demanding tighter gun controls. president trump's national security adviser said it is time the world held syria to account for using chemical weapons. now, day nine of the winter olympics in south korea are under way with no medals up for grabs so far but here's some of the highlights from day"
